"","city","state","postal_code","latitude","longitude","stars","review_count","categories","GoodForKids","RestaurantsReservations","Caters","NoiseLevel","RestaurantsTakeOut","RestaurantsPriceRange2","OutdoorSeating","WiFi","RestaurantsAttire","RestaurantsDelivery","BusinessAcceptsCreditCards","dessert","latenight","lunch","dinner","brunch","breakfast","garage","street","validated","lot","valet","OpenSundays","Open7days","posreview","negreview","posreview2016","negreview2016","posreview2017","negreview2017","posreview2018","negreview2018","checkedin2016","checkedin2017","checkedin2018","checkedin100"
"11","Indian Trail","NC",28079,35.0492092,-80.6455685,3.5,95,"Nightlife, Bars","True","True","True","loud","True","2","True","free","casual","False","True","False","False","True","False","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"12","Charlotte","NC",28209,35.1744564,-80.8401575,4,81,"Fast Food, American (Traditional)","True","False","True","quiet","True","3","False",NA,"casual","True","True",NA,NA,NA,NA,NA,NA,"False","False","False","True","False",1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"13","Champaign","IL",61820,40.1100643,-88.229494,3,46,"Fast Food, American (Traditional)","True","True","True","average","True","2","False","no","casual","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"14","Stanley","NC",28164,35.3536635,-81.0889935,3,9,"Fast Food, American (Traditional)","True",NA,NA,NA,"True","1",NA,NA,"casual",NA,NA,NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"15","Champaign","IL",61820,40.117237,-88.2431919,4,116,"Nightlife, Bars","False","True","True","average","True","3","True","free","casual","False","True","False","False","False","False","False","False","True","True","False","False","False",1,0,9,0,17,0,16,0,8,0,1,1,1,1
"16","Charlotte","NC",28226,35.088386,-80.862882,3.5,106,"Fast Food, American (Traditional)","True","True","False","average","True","2","False","no","casual","False","True","False","False","False","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"17","Cornelius","NC",28031,35.483607,-80.877465,4,8,"Fast Food, American (Traditional)","True","False",NA,NA,"True","1","False",NA,"casual","False","True","False","False","False","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"18","Concord","NC",28027,35.4046466,-80.6870528,4,9,"Sandwiches, Fast Food","True","False",NA,NA,"True","2","False",NA,"casual","True","True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"19","Charlotte","NC",28262,35.3099289,-80.754271,3.5,74,"Fast Food, American (Traditional)","True","False","True","average","True","1","True","no","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"20","Madison","WI",53715,43.0600205,-89.4005033,4,71,"Fast Food, American (Traditional)","True","False","False","average","True","1","False","no","casual","False","False","False","False","False","False","True","True","False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"21","Charlotte","NC",28202,35.2285596703,-80.8452783837,4,131,"American (Traditional), Nightlife","False","True","True","average","False","4","False","no","dressy","False","True","False","False","False","True","False","False","False","False","False","False","True",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"22","Madison","WI",53703,43.0792898936,-89.3905858144,2.5,72,"American (Traditional), Nightlife","True","True",NA,"average","True","2","True","free","casual","False","True","False","False","False","False","False","False","True","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"23","Fitchburg","WI",53711,43.0003778,-89.4258729,3,56,"Fast Food, American (Traditional)","True","False","True","average","True","2","True","free","casual","True","True","False","False","True","True","False","False","False","False","False","True","False",1,1,11,0,9,0,10,0,7,0,1,1,1,1
"24","Madison","WI",53717,43.0732552,-89.5266501,3,136,"Fast Food, American (Traditional)","True","False","False","average","False","2","False","free","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,20,2,18,1,15,1,18,0,1,1,1,1
"25","Concord","NC",28027,35.4140461,-80.6664857,2.5,14,"Fast Food, American (Traditional)","True","False",NA,NA,"True","1","False",NA,"casual","False","True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"26","Middleton","WI",53562,43.0960955,-89.5131921,2,24,"American (Traditional), Nightlife","False","False",NA,"quiet","False","1","True","free","casual","False","True","False","False","False","False","False","False","False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"27","Madison","WI",53703,43.0885766,-89.3649736,2.5,87,"Nightlife, Bars","True","True","True","average","True","2","True","free","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"28","Champaign","IL",61820,40.1392818536,-88.2446583173,4,15,"Fast Food, American (Traditional)",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"False","False","False","True","False",0,0,1,1,3,1,1,1,1,0,1,0,0,0
"29","Champaign","IL",61820,40.1032417,-88.2441637,3.5,402,"Sandwiches, Fast Food","True","True","True","average","True","2","True","free","casual","True","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"30","Charlotte","NC",28217,35.1684737768,-80.875257492,4.5,486,"Fast Food, American (Traditional)","True","True","True","average","True","2","True","free","casual","True","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"31","Matthews","NC",28105,35.1275266,-80.707971,3,98,"Nightlife, Bars","True","False","True","average","True","2","False","no","casual","True","True","False","False","False","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"32","Mt. Holly","NC",28210,35.288949,-81.017299,2.5,10,"Sandwiches, Fast Food","False","False","False","average","True","2","False","no","casual","True","True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"33","Matthews","NC",28105,35.119773,-80.7005629,3.5,59,"Fast Food, American (Traditional)","True","False",NA,"average","True","1","False","no","casual","False","True","False","False","True","True","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
"34","Charlotte","NC",28209,35.1703927,-80.8464974,4,59,"Southern, Breakfast & Brunch","True","False","True","average","True","1","True","free","casual","True","True","False","False","True","False","False","False","False","True","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"35","Charlotte","NC",28203,35.2078667,-80.8598976,4,148,"Fast Food, American (Traditional)","True","False","False","average","True","1","True","no","casual","False","True","False","False","True","False","False","False","False","False","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"36","Charlotte","NC",28205,35.217977394,-80.7939415053,5,98,"Fast Food, American (Traditional)","True","True","True","quiet","True","2","False","free","casual","True","True","False","False","True","True","False","False","False","False","False","True","False",1,0,19,0,NA,NA,52,0,46,0,0,1,1,0
"37","Champaign","IL",61820,40.1101671,-88.2329249,4.5,386,"Fast Food, American (Traditional)","True","False","True","average","True","2","False","no","casual","False","True","False","False","True","True","False","False","False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"38","Matthews","NC",28105,35.1177336,-80.7200124,3.5,93,"Nightlife, Bars","True","False","True","average","True","2","True","free","casual","False","True","False","False","False","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"39","Charlotte","NC",28216,35.3225328,-80.9450291,3,64,"Fast Food, American (Traditional)","True","False","False","quiet","True","2","True","no","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,17,1,8,2,7,2,13,0,1,1,1,0
"40","Matthews","NC",28104,35.0687554401,-80.701162219,3.5,101,"Fast Food, American (Traditional)","True","False","True","average","True","2","True","free","casual","True","True","False","False","True","True","False","False",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"41","Charlotte","NC",28211,35.1527248376,-80.827953314,4,1572,"Fast Food, American (Traditional)","True","False","True","average","True","2","True","free","casual","False","True","False","False","True","True","False","False","True","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"42","Charlotte","NC",28208,35.2085506,-80.9134552,4,110,"Fast Food, American (Traditional)","True","True","True","average","True","2","True","paid","casual","True","True","False","False","True","False","False","False","False","False","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"43","Madison","WI",53703,43.07243,-89.38434,4,490,"Nightlife, Bars","False","True","False","average","False","3","True","no","casual","False","True","False","False","False","True","False","False","False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"44","Charlotte","NC",28203,35.2034162,-80.8385574,2.5,13,"Sandwiches, Fast Food","True","False","True",NA,"True","1","False","free","casual","False","True","False","False","False","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"45","Madison","WI",53703,43.0749204,-89.3883945,3.5,45,"Sandwiches, Fast Food","True","False","False","average","True","1","True","free","casual","False","True","False","False","True","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"46","Sun Prairie","WI",53590,43.1879461637,-89.2299473367,1.5,13,"Fast Food, American (Traditional)",NA,"False",NA,NA,"True","1","False","free","casual","False","True","False","False","False","False","False","False","False","False","False","True","False",1,1,3,0,1,1,3,0,5,2,0,1,1,0
"47","Concord","NC",28025,35.4107500063,-80.5818166507,4.5,11,"Fast Food, American (Traditional)","True","True",NA,NA,"True","2","True","no","casual","False","True","False","False","False","False","False","False",NA,NA,NA,NA,NA,1,0,1,0,NA,NA,3,0,8,0,0,1,1,0
"48","Middleton","WI",53562,43.0935719,-89.4923464,2.5,34,"Fast Food, American (Traditional)","True","False","False","average","True","1","True","no","casual","False","True",NA,NA,NA,NA,NA,NA,"False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"49","Charlotte","NC",28213,35.2581442255,-80.7790575432,4,43,"Fast Food, American (Traditional)","True","False","True","average","True","2","False","no","casual","False","True",NA,NA,NA,NA,NA,NA,"False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"50","Charlotte","NC",28211,35.171265,-80.807472,3.5,62,"Sandwiches, Fast Food","True","False","True","average","True","1","True","free","casual","False","True",NA,NA,NA,NA,NA,NA,"False","False","False","True","False",1,1,11,2,9,0,7,0,5,0,1,1,1,1
"51","Madison","WI",53703,43.0751466,-89.3965677,4,41,"Fast Food, American (Traditional)","True","False","True","average","True","1","False","no","casual","False","True","False","False","True","True","False","False","False","False","False","False","False",1,1,9,0,2,1,3,1,1,0,1,1,1,1
"52","Urbana","IL",61801,40.1161711,-88.2202894,4,8,"Fast Food, American (Traditional)","True","False","False","quiet","True","1","True",NA,"casual","False","True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0
"53","Monona","WI",53716,43.0496662,-89.3255306,3.5,83,"Fast Food, American (Traditional)","True","True","True","quiet","True","2","False","free","casual","True","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"54","Madison","WI",53715,43.0734309,-89.3964774,5,12,"Fast Food, American (Traditional)",NA,"True",NA,NA,"True",NA,NA,NA,NA,"True","True","False","False","False","False","False","False","False","False","False","False","False",1,1,1,0,NA,NA,NA,NA,4,0,0,0,1,0
"55","Madison","WI",53704,43.0945835,-89.3641631,3,44,"Fast Food, American (Traditional)","False","True","True","average","True","1","True","no","casual","True","True",NA,NA,NA,NA,NA,NA,"False","False","False","True","False",1,0,2,0,4,0,NA,NA,3,0,1,1,1,0
"56","Mint Hill","NC",28227,35.1756932683,-80.6543249237,3,76,"American (Traditional), Nightlife","True","False",NA,"very_loud","True","2","True","free","casual","False","True","False","False","False","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
"57","Concord","NC",28027,35.4153658582,-80.6689246331,3.5,30,"Coffee & Tea, Cafes",NA,NA,"True",NA,"True","1",NA,NA,NA,"False","True",NA,NA,NA,NA,NA,NA,"False","False","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"58","Charlotte","NC",28211,35.1522311,-80.8318968,2.5,3,"Coffee & Tea, Cafes","True","False",NA,NA,"True","1","False",NA,"casual","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0
"59","Concord","NC",28025,35.446819,-80.5991685,4,36,"Fast Food, American (Traditional)","True","True","False","average","True","2","False","no","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"60","Urbana","IL",61801,40.1067106,-88.2217516,3,60,"Fast Food, American (Traditional)","True","True","True","average","True","1","True","no","casual","True","True","False","False","True","True","False","False","False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"61","Charlotte","NC",28211,35.1761455,-80.7996081,2.5,31,"Sandwiches, Fast Food","True","False","True","average","True","1","True","free","casual","False","True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"62","Charlotte","NC",28226,35.088117,-80.861651,3,95,"Fast Food, American (Traditional)","True","True","False","average","True","2","True","free","casual","True","True","False","False","False","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"63","Davidson","NC",28036,35.5011767149,-80.8610272408,3.5,47,"Fast Food, American (Traditional)","True","False","False","average","True","1","True","free","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"64","Charlotte","NC",28262,35.2961,-80.7553,1.5,13,"Fast Food, American (Traditional)","True","False","True",NA,"True","1","False","no","casual","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"65","Charlotte","NC",28202,35.2170808927,-80.8479955959,3.5,33,"Coffee & Tea, Cafes","True","False",NA,NA,"True",NA,"True","free","casual","False","True","False","False","False","False","False","True","False","False","False","False","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
"66","Charlotte","NC",28208,35.2202707977,-80.9470832348,3,68,"Nightlife, Bars","False","False","False","average","True","2","False","free","casual","False","True","False","False","True","True","False","False","False","False","False","False","False",1,1,11,2,11,1,8,2,12,3,1,1,1,1
"67","Charlotte","NC",28213,35.2946040657,-80.7480016351,1.5,18,"Fast Food, American (Traditional)","True","False",NA,NA,"True","1","False","free","casual",NA,"True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
"68","Madison","WI",53704,43.1113142622,-89.3640175794,4,114,"Fast Food, American (Traditional)","True","True","True","average","True","2","False","no","casual","True","True","False","False","False","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"69","Matthews","NC",28105,35.1355697,-80.7381149,3.5,35,"Fast Food, American (Traditional)","True","False","False","quiet","True","2","True","free","casual","False","True","False","False","True","False","False","False","False","False","False","False","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"70","Charlotte","NC",28262,35.310253,-80.749391,4,199,"Fast Food, American (Traditional)","True","False","True","average","True","2","True","free","casual","True","True","False","False","True","False","True","True","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"71","Charlotte","NC",28216,35.2734512,-80.8916921,4.5,36,"Fast Food, American (Traditional)","True","False","True","average","True","1","False","no","casual","False","True","False","False","True","False","False","True","False","False","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"72","Charlotte","NC",28208,35.1902505,-80.9285933,3.5,7,"Sandwiches, Fast Food","True",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0
"73","Monona","WI",53716,43.0477289,-89.3122608,5,19,"Fast Food, American (Traditional)","True","False",NA,"average","True","1","True","no","casual","False","True","False","False","True","False","False","False","False","False","False","False","False",0,0,1,0,5,0,NA,NA,0,1,1,1,1,0
"74","Middleton","WI",53562,43.1045005,-89.4945568,3.5,129,"Fast Food, American (Traditional)","True","True","False","average","True","2","True","free","casual","False","True","False","False","False","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"75","Charlotte","NC",28262,35.3363145137,-80.7555362945,3.5,83,"Southern, Breakfast & Brunch","True","False","True","average","True","1","True","free","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"76","Charlotte","NC",28209,35.1742292692,-80.8481419086,4,574,"Southern, Breakfast & Brunch","True","False","True","average","True","2","True","free","casual","True","True","False","False","True","False","True","True","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"77","Charlotte","NC",28203,35.200406,-80.8690417,3.5,22,"Coffee & Tea, Cafes",NA,NA,"False",NA,"False","2","True","free",NA,NA,"True",NA,NA,NA,NA,NA,NA,"False","True","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"78","Charlotte","NC",28269,35.333598,-80.813201,2.5,45,"Fast Food, American (Traditional)","True","False","True","quiet","True","1","True","free","casual","True","True","True","False","True","True","False","False","False","False","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"79","Matthews","NC",28105,35.116822,-80.722003,4,64,"Fast Food, American (Traditional)","False","True",NA,"average","True","2","True",NA,"casual","False","True",NA,NA,NA,NA,NA,NA,"False","True","False","False","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
"80","Charlotte","NC",28226,35.1084974,-80.8022853,5,4,"Fast Food, American (Traditional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"81","Charlotte","NC",28205,35.2114568,-80.7614948,4,59,"Fast Food, American (Traditional)","True","False","False","average","True","1","False","no","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"82","Charlotte","NC",28269,35.3721137904,-80.7829607676,4,98,"Nightlife, Bars","True","True","True","average","True","2","True","free","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"83","Charlotte","NC",28208,35.2242230736,-80.9402901706,2.5,64,"Fast Food, American (Traditional)","True","False",NA,NA,"True","1","False","no","casual","False","True","False","False","False","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"84","Gastonia","NC",28052,35.2625236511,-81.1962356567,3,12,"Fast Food, American (Traditional)","True","False","False","loud","True","1","False","no","casual","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"85","Madison","WI",53716,43.084,-89.3162,2,12,"Fast Food, American (Traditional)","True","False","True","quiet","True","2","False","free","casual","False","True","False","False","False","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"86","Champaign","IL",61820,40.111322,-88.230602,3,85,"Fast Food, American (Traditional)","True","True","False","loud","False","2","False","free","casual","False","True","False","False","True","True","False","False","False","True","False","False","False",1,1,9,0,NA,NA,30,0,8,0,0,1,1,0
"87","Verona","WI",53593,43.0020338,-89.5306321,2.5,9,"Fast Food, American (Traditional)","True","False",NA,NA,"True","1",NA,NA,"casual","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"88","Charlotte","NC",28273,35.144187,-80.929394,2.5,59,"Fast Food, American (Traditional)","True","False","True","average","True","1","False","free","casual","False","True","False","True","True","True","False","True","False","False","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"89","Indian Trail","NC",28079,35.0631169,-80.633164,4,34,"Sandwiches, Fast Food","True","False","True","average","True","1","True","no","casual","False","True","False","False","True","False","False","False","False","False","False","False","False",1,1,4,0,6,3,4,0,2,0,1,1,0,0
"90","Charlotte","NC",28278,35.161365,-80.973333,3.5,9,"Sandwiches, Fast Food","True","False","True","average","True","1","False","free","casual","False","True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
"91","Charlotte","NC",28205,35.2278929,-80.8209316,4.5,490,"Sandwiches, Fast Food","True","False","True","average","True","2","False","no","casual","True","True","False","False","True","True","False","False","False","True","False","False","False",1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"92","Matthews","NC",28105,35.128028,-80.702461,3,16,"Sandwiches, Fast Food","True","False","True","average","True","1","True","no","casual","True","True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False",1,1,2,0,1,0,1,0,NA,NA,1,1,1,0
"93","Madison","WI",53703,43.074392,-89.3936635,3.5,168,"Fast Food, American (Traditional)","True","True","False","average","True","2","False","no","casual","True","True","False","False","True","True","False","False","False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"94","Charlotte","NC",28277,35.096737,-80.778558,3.5,134,"Coffee & Tea, Cafes","True","False","True","average","True","2","True","no","casual","False","True","False","False","True","False","True","True","False","False","False","True","False",1,1,25,0,14,2,20,0,10,0,1,1,1,1
"95","Charlotte","NC",28216,35.3466584621,-80.8608346287,2.5,106,"American (Traditional), Nightlife","True","False","False","loud","True","2","True","free","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"96","Charlotte","NC",28211,35.1522311,-80.8318968,2.5,3,"Coffee & Tea, Cafes","True","False",NA,NA,"True","1","False",NA,"casual","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0
"97","Charlotte","NC",28269,35.3339911,-80.7919652,3.5,55,"Sandwiches, Fast Food","True","False","True","average","True","1","True","no","casual","True","True","False","False","True","False","False","False","False","False","False","True","False",1,1,7,1,7,0,5,1,5,0,1,1,1,1
"98","Charlotte","NC",28208,35.2244478,-80.887181,4,16,"Fast Food, American (Traditional)","True","False","False",NA,"True","1","True","no","casual","False","True","True","False","False","True","False","False","False","False","False","True","False",1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"99","Middleton","WI",53562,43.0962004007,-89.5136945802,3.5,114,"Fast Food, American (Traditional)","True","True",NA,"average","True","2","False","no","casual","False","True","False","False","True","True","False","False","False","True","False","True","False",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"100","Champaign","IL",61820,40.118679,-88.244834,4,263,"Nightlife, Bars","True","False",NA,"average","True","2","False","no","casual","False","True",NA,NA,NA,NA,NA,NA,"True","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"101","Cornelius","NC",28031,35.4803328,-80.8868747,3.5,13,"Sandwiches, Fast Food","True","False","True","average","True","1","True",NA,"casual","True","True","False","False","False","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"102","Madison","WI",53711,43.064652,-89.416998,4.5,61,"Coffee & Tea, Cafes","True","False","True","average","True","1","False","free","casual","False","True",NA,NA,NA,NA,NA,NA,"False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"103","Charlotte","NC",28216,35.3258902,-80.9463896,3.5,27,"Fast Food, American (Traditional)","True","False","False","quiet","True","1","False","no","casual","False","True","False","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
